,ActivePower
0,380.0477905
1,453.7691956
2,306.3765869
3,419.6459045
4,380.6506958
5,402.3919983
6,447.6057129
7,387.2421875
8,463.6512146
9,439.725708
10,498.1817017
11,526.8162231
12,710.5872803
13,655.1942749
14,754.7625122
15,790.1732788
16,742.9852905
17,748.2296143
18,736.6478271
19,787.2462158
20,722.8640747
21,935.0333862
22,1220.609009
23,1053.771973
24,1493.807983
25,1724.488037
26,1636.935059
27,1385.488037
28,1098.932007
29,1021.458008
30,1164.892944
31,1073.332031
32,1165.307983
33,1177.98999
34,1170.536011
35,1145.536011
36,1114.026978
37,1153.185059
38,1125.331055
39,1228.732056
40,1021.79303
41,957.3781738
42,909.8878174
43,1000.953979
44,1024.478027
45,1009.533997
46,899.492981
47,725.1101074
48,585.2593994
49,443.9139099
50,565.2537842
51,644.0377808
52,712.0588989
53,737.3947754
54,725.868103
55,408.997406
56,628.4368286
57,716.1005859
58,711.4956055
59,838.1519165
60,881.0620728
61,663.703125
62,578.2615967
63,465.6200867
64,311.0509033
65,230.0554962
66,233.9906006
67,175.5921936
68,118.1331024
69,142.2024994
70,212.5661926
71,222.6100006
72,194.1811981
73,82.64074707
74,75.8952179
75,41.94723892
76,118.5345993
77,250.7559052
78,346.8644104
79,416.4179077
80,331.9414978
81,583.4799194
82,776.5526733
83,752.7263794
84,589.0731201
85,1109.128052
86,1482.459961
87,1523.430054
88,1572.170044
89,1698.939941
90,1616.845947
91,1796.823975
92,1885.860962
93,2327.511963
94,2499.162109
95,2820.512939
96,2812.279053
97,2530.447021
98,2399.121094
99,2335.587891
100,2341.133057
101,2391.8479
102,2118.389893
103,1866.845947
104,1865.619019
105,1862.447998
106,1884.119019
107,1855.776978
108,1958.133057
109,2228.24292
110,2529.291016
111,2788.25708
112,2692.929932
113,2535.353027
114,2584.665039
115,2960.183105
116,3062.978027
117,3024.39209
118,3187.9729
119,3387.228027
120,3209.018066
121,3272.665039
122,3209.698975
123,3134.518066
124,2977.824951
125,3431.772949
126,3604.209961
127,3601.327881
128,3604.426025
129,3604.391113
130,3604.337891
131,3554.687988
132,3479.407959
133,3472.333008
134,3491.510986
135,3536.989014
136,3528.658936
137,3581.540039
138,3570.079102
139,3597.604004
140,3441.025879
141,3373.969971
142,3369.812988
143,3375.903076
144,3377.649902
145,3374.423096
146,3401.081055
147,3469.412109
148,3511.809082
149,3536.759033
150,3467.808105
151,3460.677002
152,3589.443115
153,3527.718994
154,3561.26709
155,3604.068115
156,3604.176025
157,3593.200928
158,3493.821045
159,3470.701904
160,3436.610107
161,3401.455078
162,3395.23291
163,3417.503906
164,3465.108887
165,3467.417969
166,3522.406982
167,3510.10791
168,3513.844971
169,3564.008057
170,3475.278076
171,3561.990967
172,3521.554932
173,3493.60791
174,3555.304932
175,3377.12793
176,3479.626953
177,3539.112061
178,3430.436035
179,3301.917969
180,3235.543945
181,3519.022949
182,3469.537109
183,3296.186035
184,3045.51001
185,3444.741943
186,3417.746094
187,2807.613037
188,2493.393066
189,3215.196045
190,3589.590088
191,3599.149902
192,3375.177002
193,3346.980957
194,3567.967041
195,3519.264893
196,3485.191895
197,3145.562988
198,2978.310059
199,3179.008057
200,3461.581055
201,3082.549072
202,3493.657959
203,3601.045898
204,3597.564941
205,3602.172119
206,3601.99292
207,3600.791016
208,3590.75
209,3601.845947
210,3601.870117
211,3591.655029
212,3579.024902
213,3598.131104
214,3525.333008
215,3560.699951
216,3537.676025
217,3491.291016
218,3530.766113
219,2915.839111
220,2178.658936
221,2244.412109
222,1278.89502
223,2832.934082
224,3205.9729
225,3149.284912
226,3273.656006
227,3114.099121
228,3111.060059
229,3361.011963
230,3421.419922
231,3520.148926
232,3589.427002
233,3495.115967
234,3298.761963
235,2894.440918
236,3486.628906
237,3455.24707
238,3556.785889
239,3375.582031
240,3493.979004
241,3549.147949
242,3483.315918
243,3589.858887
244,3584.235107
245,3599.008057
246,3602.637939
247,3550.563965
248,3552.782959
249,3585.010986
250,3421.176025
251,3406.040039
252,3515.610107
253,3515.965088
254,3475.418945
255,3471.156982
256,3281.754883
257,2955.11499
258,3061.735107
259,2679.110107
260,2721.081055
261,2649.136963
262,2707.74292
263,2508.832031
264,2316.647949
265,3081.542969
266,3397.638916
267,3391.716064
268,3587.510986
269,3603.112061
270,3591.093018
271,3221.044922
272,2887.733887
273,2364.534912
274,1935.847046
275,1549.480957
276,1625.755981
277,1994.222046
278,2362.0
279,2097.771973
280,1564.590942
281,1107.474976
282,1303.116943
283,1561.182007
284,1544.999023
285,1456.738037
286,1795.644043
287,2773.291016
288,2782.568115
289,2446.424072
290,3412.39209
291,3255.337891
292,2796.876953
293,2467.954102
294,1278.886963
295,1042.537964
296,609.0761719
297,175.4407043
298,112.1109009
299,271.9171143
300,737.4487915
301,1375.579956
302,1520.890015
303,1349.112061
304,889.1298218
305,412.115509
306,444.6036072
307,655.7307129
308,882.5654297
309,998.3845825
310,1193.395996
311,1122.712036
312,1214.125977
313,1086.307007
314,1060.603027
315,1451.713989
316,1361.459961
317,1490.569946
318,1153.139038
319,953.9760132
320,799.0856934
321,616.2548218
322,646.9244995
323,1323.682007
324,1568.885986
325,1580.902954
326,1495.180054
327,2063.868896
328,2368.76001
329,2516.419922
330,2108.770996
331,2568.111084
332,3445.219971
333,2994.106934
334,2594.937012
335,2326.825928
336,1941.463989
337,1581.487061
338,1013.286987
339,375.6176147
340,198.1511993
341,87.44045258
342,189.1378021
343,434.4317932
344,336.5007935
345,296.6101074
346,92.9240036
347,85.70230103
348,309.5114136
349,381.1726074
350,417.2662964
351,446.343811
352,206.6020966
353,251.3757019
354,275.0136108
355,314.2744141
356,238.7823029
357,409.0264893
358,506.4703064
359,427.9566956
360,952.2675781
361,1019.905029
362,1015.357971
363,979.7229004
364,379.4078979
365,841.5977783
366,672.6187744
367,452.0786133
368,558.9979248
369,331.7192993
370,212.1006927
371,79.72102356
372,183.0128021
373,279.1960144
374,460.2166138
375,647.7111206
376,685.0780029
377,709.8339844
378,493.3555908
379,366.0793152
380,183.0379028
381,7.347679138
382,0.0
383,12.34420013
384,-0.393067598
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,65.98790741
392,157.8495026
393,50.42205048
394,88.1881485
395,242.3132935
396,262.8019104
397,584.6671143
398,298.586792
399,279.7724915
400,823.4796143
401,883.265625
402,1155.17395
403,1400.389038
404,1205.10498
405,1292.051025
406,1856.177002
407,1928.175049
408,1604.427002
409,1599.995972
410,1456.094971
411,1386.623047
412,1460.360962
413,1894.795044
414,1760.422974
415,2010.977051
416,1828.81604
417,1960.692993
418,1900.447998
419,1549.958008
420,1692.688965
421,1931.083984
422,2060.147949
423,2069.625
424,2037.266968
425,1594.845947
426,994.5827026
427,1137.285034
428,1267.858032
429,1002.463013
430,1172.348022
431,1252.139038
432,1121.166992
433,1183.020996
434,932.3084106
435,989.5076904
436,750.5510254
437,825.7661743
438,1116.487061
439,986.7598877
440,1018.14502
441,659.1777954
442,729.4874268
443,864.5026245
444,1342.239014
445,1279.098022
446,1351.391968
447,1039.727051
448,876.0166016
449,754.0079956
450,1122.334961
451,907.7965698
452,1009.737
453,1806.98999
454,2374.843994
455,1779.208984
456,1334.980957
457,1562.947021
458,1562.116943
459,1464.977051
460,1312.358032
461,767.0369873
462,283.2593079
463,687.1071777
464,465.7536011
465,355.6220093
466,467.8251953
467,865.3469849
468,1512.972046
469,1491.698975
470,2004.44104
471,1581.483032
472,1431.620972
473,1523.792969
474,1693.270996
475,1775.037964
476,1875.410034
477,1558.057983
478,1811.088989
479,1686.125977
480,2362.262939
481,2000.86499
482,1169.964966
483,1309.223999
484,759.0145264
485,498.1903076
486,332.4820862
487,253.5845032
488,180.4122925
489,258.3656921
490,133.0052948
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,210.7194977
511,338.6500854
512,518.5518188
513,504.067688
514,446.7330017
515,705.7045288
516,795.3168945
517,1012.676025
518,1240.823975
519,1282.074951
520,941.5869141
521,590.8366699
522,650.5629272
523,871.5112305
524,914.1212158
525,835.84198
526,624.9906006
527,591.9558716
528,509.3490906
529,1190.81604
530,963.7324829
531,980.9760742
532,777.8479004
533,980.223877
534,962.4301758
535,462.7698975
536,1139.240967
537,1418.631958
538,1716.139038
539,1312.791016
540,1222.020996
541,703.7221069
542,470.8012085
543,387.34021
544,402.4747925
545,460.2911987
546,619.8723755
547,470.2001038
548,691.0140991
549,826.9951782
550,892.4243774
551,907.1884155
552,545.2653198
553,688.8358154
554,591.9088745
555,660.6942749
556,747.4074707
557,1174.243042
558,873.4810181
559,845.2050171
560,837.0637207
561,949.4943237
562,1045.36499
563,791.0836182
564,994.7495728
565,933.4232178
566,1049.432983
567,671.7241211
568,966.8311768
569,982.2590942
570,825.6619263
571,723.1392212
572,418.6412048
573,327.2762146
574,388.316803
575,167.2218018
576,137.2467957
577,130.7671051
578,117.8118973
579,111.3429031
580,114.2955017
581,143.7870941
582,88.93582916
583,183.6699982
584,82.14437866
585,139.9472046
586,434.5010986
587,474.0610962
588,415.1499939
589,435.0263977
590,402.3875122
591,257.2170105
592,137.417099
593,102.3587036
594,92.7376709
595,78.11549377
596,110.3116989
597,102.552803
598,77.85061646
599,81.45278168
600,66.64151001
601,90.01490784
602,112.0342026
603,82.11415863
604,13.93430996
605,0.0
606,0.0
607,55.44535065
608,22.78053093
609,4.355070114
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,47.90932846
735,12.95296001
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,35.41701889
789,140.9503021
790,94.85032654
791,63.05392838
792,56.7136116
793,28.12931061
794,-0.456532687
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,110.1772995
806,268.4454041
807,345.5763855
808,440.3240967
809,582.0706787
810,685.7241821
811,687.3024292
812,655.8494263
813,579.4661865
814,535.5651855
815,633.1019287
816,818.1245117
817,1011.14502
818,1323.166992
819,1519.583984
820,1859.737061
821,2232.939941
822,2404.821045
823,2601.983887
824,2888.194092
825,3100.968994
826,3401.719971
827,3545.325928
828,3581.248047
829,3602.824951
830,3603.495117
831,3601.655029
832,3474.897949
833,3453.720947
834,3373.285889
835,3349.333008
836,3350.865967
837,3381.177979
838,3129.446045
839,3167.541992
840,3057.580078
841,2973.504883
842,3086.539063
843,3147.275879
844,2947.684082
845,3163.635986
846,3443.136963
847,3330.927002
848,3083.243896
849,2770.948975
850,2660.316895
851,2693.02002
852,2655.571045
853,2745.897949
854,3073.591064
855,3117.308105
856,3298.27002
857,3182.297119
858,3299.024902
859,3478.102051
860,3583.790039
861,3578.458984
862,3585.979004
863,3603.324951
864,3603.593018
865,3602.949951
866,3602.795898
867,3597.191895
868,3584.740967
869,3554.150879
870,3517.225098
871,3476.658936
872,3455.769043
873,3445.298096
874,3425.479004
875,3430.003906
876,3401.62207
877,3396.74707
878,3418.856934
879,3443.596924
880,3443.709961
881,3432.080078
882,3497.419922
883,3433.666016
884,3551.625
885,3604.094971
886,3604.241943
887,3604.22998
888,3604.329102
889,3603.945068
890,3603.947021
891,3600.100098
892,3112.611084
893,1956.968018
894,2000.222046
895,2430.956055
896,2407.562988
897,2915.782959
898,2278.343994
899,2668.512939
900,2564.800049
901,2782.284912
902,3146.324951
903,2980.375
904,2557.783936
905,2047.16394
906,2196.951904
907,2200.612061
908,2276.938965
909,2637.587891
910,1743.103027
911,2817.933105
912,3442.739014
913,3493.36499
914,3547.762939
915,3366.832031
916,3396.950928
917,3177.454102
918,3021.465088
919,2818.601074
920,3381.593018
921,3211.552979
922,3489.73291
923,3465.790039
924,3533.800049
925,3549.374023
926,3524.898926
927,3567.977051
928,3497.770996
929,3399.969971
930,3456.762939
931,3412.958008
932,3450.408936
933,3572.710938
934,3537.447998
935,3568.716064
936,3564.731934
937,3439.712891
938,3512.095947
939,3585.023926
940,3582.326904
941,3445.820068
942,3274.910889
943,3483.323975
944,3596.420898
945,3557.915039
946,3453.739014
947,3303.159912
948,3371.386963
949,3377.572021
950,3281.274902
951,3394.591064
952,3258.51001
953,3276.947998
954,3315.775879
955,3552.310059
956,3546.322998
957,3123.148926
958,3069.166992
959,3315.912109
960,3573.510986
961,3527.712891
962,3590.524902
963,3503.594971
964,3382.559082
965,3370.074951
966,3394.958008
967,3604.214111
968,3604.240967
969,3604.332031
970,3604.508057
971,3604.561035
972,3604.547119
973,3604.383057
974,3604.128906
975,3604.287109
976,3603.205078
977,3602.812988
978,3558.370117
979,3476.102051
980,3372.683105
981,3068.2229
982,3015.029053
983,3047.173096
984,2962.648926
985,2790.314941
986,2295.48291
987,2455.433105
988,2295.831055
989,2044.208008
990,2331.074951
991,2197.303955
992,1840.800049
993,1699.48999
994,1823.838989
995,1623.546997
996,1590.369019
997,1146.207031
998,1054.239014
999,1164.526978
1000,1335.339966
1001,1375.119995
1002,1271.406982
1003,1082.958984
1004,908.0120239
1005,835.4611816
1006,880.546875
1007,997.5792847
1008,1049.578003
1009,980.8162231
1010,1182.594971
1011,1280.964966
1012,1484.291992
1013,1377.219971
1014,1241.482056
1015,1192.243042
1016,1151.322998
1017,1114.974976
1018,1033.328003
1019,936.5161743
1020,895.6375732
1021,806.932312
1022,512.8892212
1023,544.7133789
1024,515.7891235
1025,642.6522827
1026,693.7650146
1027,537.7199707
1028,836.3096924
1029,1078.052002
1030,802.5380859
1031,743.9127197
1032,816.6115723
1033,623.0045166
1034,611.0388184
1035,361.3192139
1036,226.3937073
1037,146.218399
1038,137.7993927
1039,107.5957031
1040,148.7830048
1041,183.4562988
1042,288.2466125
1043,390.3236084
1044,320.6368103
1045,244.8775024
1046,133.5527954
1047,8.48479557
1048,77.44355011
1049,112.1079025
1050,26.92427063
1051,86.62489319
1052,162.0511017
1053,12.82001019
1054,17.84958076
1055,30.36087036
1056,14.21788025
1057,193.0794983
1058,92.28330231
1059,130.7256927
1060,127.6705017
1061,89.93031311
1062,66.07553864
1063,19.80158997
1064,39.00555038
1065,2.426461935
1066,98.45671844
1067,15.6660099
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,1.771667957
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,277.5324097
1089,498.3258057
1090,497.7956848
1091,642.5411987
1092,791.8890991
1093,923.550415
1094,745.8217773
1095,669.5847778
1096,470.0203857
1097,294.4465027
1098,354.183197
1099,500.3696899
1100,590.555481
1101,629.8114014
1102,757.2838135
1103,602.4882813
1104,533.9011841
1105,748.9569092
1106,750.7763062
1107,626.7866211
1108,637.1281128
1109,608.6168823
1110,786.0579224
1111,1149.30896
1112,1129.14502
1113,1030.680054
1114,1081.785034
1115,1120.730957
1116,980.2758789
1117,1001.133972
1118,1106.286011
1119,1000.242981
1120,1003.401001
1121,898.2753296
1122,770.7371826
1123,557.7012939
1124,473.4700012
1125,428.9768982
1126,363.7952881
1127,356.7980957
1128,349.7767944
1129,361.3447876
1130,347.2059937
1131,248.9463043
1132,281.9343872
1133,314.6347961
1134,368.4970093
1135,325.6263123
1136,232.6753998
1137,269.1629944
1138,386.1742859
1139,405.5794067
1140,445.0248108
1141,458.1116943
1142,460.8215027
1143,487.211792
1144,510.5628967
1145,489.9814148
1146,425.5150146
1147,356.3117065
1148,369.5346985
1149,365.8602905
1150,206.9544983
1151,172.0186005
1152,109.5796967
1153,122.6483002
1154,132.9779053
1155,126.8231964
1156,100.5101013
1157,187.7584991
1158,290.8814087
1159,223.4608002
